lake_key,date,temp_c,messungen
afritzer_see,2026-09-03,21.95,10
afritzer_see,2026-09-04,22.13,51
afritzer_see,2026-09-05,21.9,42
afritzer_see,2026-09-06,21.85,38
brennsee,2026-09-03,23.32,9
brennsee,2026-09-04,23.04,47
brennsee,2026-09-05,22.9,42
brennsee,2026-09-06,22.94,33
faaker_see,2026-09-03,24.05,6
faaker_see,2026-09-04,23.83,47
faaker_see,2026-09-05,23.59,30
faaker_see,2026-09-06,23.9,27
goesselsdorfer_see,2026-09-03,23.63,7
goesselsdorfer_see,2026-09-04,23.64,52
goesselsdorfer_see,2026-09-05,23.49,40
goesselsdorfer_see,2026-09-06,23.25,35
keutschacher_see,2026-09-03,24.87,7
keutschacher_see,2026-09-04,25.01,52
keutschacher_see,2026-09-05,24.64,46
keutschacher_see,2026-09-06,24.67,26
klopeiner_see,2026-09-03,25.25,10
klopeiner_see,2026-09-04,25.35,61
klopeiner_see,2026-09-05,24.89,41
klopeiner_see,2026-09-06,25.33,36
laengsee,2026-09-03,24.65,6
laengsee,2026-09-04,24.48,51
laengsee,2026-09-05,24.3,26
laengsee,2026-09-06,24.3,34
maltschacher_see,2026-09-03,24.9,8
maltschacher_see,2026-09-04,25.14,53
maltschacher_see,2026-09-05,24.7,50
maltschacher_see,2026-09-06,24.73,37
millstaetter_see,2026-09-03,24.27,12
millstaetter_see,2026-09-04,24.59,68
millstaetter_see,2026-09-05,24.26,55
millstaetter_see,2026-09-06,24.62,42
ossiacher_see,2026-09-03,25.04,11
ossiacher_see,2026-09-04,24.95,58
ossiacher_see,2026-09-05,23.76,51
ossiacher_see,2026-09-06,24.2,37
pressegger_see,2026-09-03,24.12,17
pressegger_see,2026-09-04,23.69,81
pressegger_see,2026-09-05,23.97,67
pressegger_see,2026-09-06,23.92,56
rauschele_see,2026-09-03,24.78,13
rauschele_see,2026-09-04,24.91,57
rauschele_see,2026-09-05,24.77,51
rauschele_see,2026-09-06,25.1,49
turnersee,2026-09-03,24.85,10
turnersee,2026-09-04,24.95,68
turnersee,2026-09-05,24.66,61
turnersee,2026-09-06,24.72,39
weissensee,2026-09-03,23.1,1
weissensee,2026-09-04,23.19,16
weissensee,2026-09-05,23.02,22
weissensee,2026-09-06,23.01,16
woerthersee,2026-09-03,24.99,11
woerthersee,2026-09-04,25.3,56
woerthersee,2026-09-05,25.05,32
woerthersee,2026-09-06,24.94,37
